epeak_keV,threshold_photon_flux_ph_cm2_s,threshold_energy_flux_erg_cm2_s,source_counts_at_threshold,background_counts_total,background_counts_cxb,background_counts_internal,trigger_energy_min_keV,trigger_energy_max_keV,sigma0
10.0,19.21330360562827,2.0876132844728017e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
10.274594854461801,18.731789502034157,2.0662430792735678e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
10.556729942333291,18.26447009741674,2.0454830920592654e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
10.84661231454405,17.81105809077207,2.0253367281950632e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
11.14445470753563,17.371251793092846,2.005805677906476e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
11.450475699382817,16.94473817791388,1.986890109393039e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
11.764899870201859,16.531195620627035,1.968588848928605e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
12.087957966963433,16.130296345722797,1.9508995481339965e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
12.419887072831308,15.741708601786076,1.9338188387582617e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
12.760930781150918,15.365098584539888,1.9173424754540476e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
13.111339374215643,15.000132127303688,1.9014654670280193e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
13.471370006941845,14.6464761781924,1.8861821967558872e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
13.841286895587572,14.303800082567593,1.8714865323701492e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
14.221361511653361,13.971776688516773,1.8573719263839833e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
